#
# LOKI C2 IOCs
# This file contains C2 server and decription
#
# FORMAT -----------------------------------------------------------------------
#
# C2;COMMENT
#
# EXAMPLES ---------------------------------------------------------------------
#
# 112.22.33.234;APT Case XYZ http://url.com/12345
# evildomain.info;AV company report XYZ http://web.url/

130.25.10.158;US-CERT TA17-293A https://www.us-cert.gov/ncas/alerts/TA17-293A
167.114.44.147;US-CERT TA17-293A https://www.us-cert.gov/ncas/alerts/TA17-293A
176.53.11.130;US-CERT TA17-293A https://www.us-cert.gov/ncas/alerts/TA17-293A
184.154.150.66;US-CERT TA17-293A https://www.us-cert.gov/ncas/alerts/TA17-293A
187.130.251.249;US-CERT TA17-293A https://www.us-cert.gov/ncas/alerts/TA17-293A
193.213.49.115;US-CERT TA17-293A https://www.us-cert.gov/ncas/alerts/TA17-293A
195.87.199.197;US-CERT TA17-293A https://www.us-cert.gov/ncas/alerts/TA17-293A
2.229.10.193;US-CERT TA17-293A https://www.us-cert.gov/ncas/alerts/TA17-293A
41.205.61.221;US-CERT TA17-293A https://www.us-cert.gov/ncas/alerts/TA17-293A
41.78.157.34;US-CERT TA17-293A https://www.us-cert.gov/ncas/alerts/TA17-293A
5.150.143.107;US-CERT TA17-293A https://www.us-cert.gov/ncas/alerts/TA17-293A
5.153.58.45;US-CERT TA17-293A https://www.us-cert.gov/ncas/alerts/TA17-293A
62.8.193.206;US-CERT TA17-293A https://www.us-cert.gov/ncas/alerts/TA17-293A
82.222.188.18;US-CERT TA17-293A https://www.us-cert.gov/ncas/alerts/TA17-293A
91.183.104.150;US-CERT TA17-293A https://www.us-cert.gov/ncas/alerts/TA17-293A
85.25.100.104;US-CERT TA17-293A https://www.us-cert.gov/ncas/alerts/TA17-293A
96.126.116.217;US-CERT TA17-293A https://www.us-cert.gov/ncas/alerts/TA17-293A
203.113.4.230;US-CERT TA17-293A https://www.us-cert.gov/ncas/alerts/TA17-293A
149.210.156.198;US-CERT TA17-293A https://www.us-cert.gov/ncas/alerts/TA17-293A
151.80.163.14;US-CERT TA17-293A https://www.us-cert.gov/ncas/alerts/TA17-293A
